column,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing_count,missing_pct,dtype
TABLET,12215.0,2,,,1.451985264019648,0.49770961884612375,1.0,1.0,1.0,2.0,2.0,1400,10.282776349614396,float64
TEL,12215.0,2,,,1.0091690544412608,0.09531907835832908,1.0,1.0,1.0,1.0,2.0,1400,10.282776349614396,float64
TEN,12215.0,4,,,1.951207531723291,0.8533792088442821,1.0,1.0,2.0,3.0,4.0,1400,10.282776349614396,float64
VACDUR,0,0,,,,,,,,,,13615,100.0,object
VACOTH,0,0,,,,,,,,,,13615,100.0,object
VACS,0,0,,,,,,,,,,13615,100.0,object
VALP,8873.0,383,,,186108.8696044179,198502.495104381,1000.0,78000.0,150000.0,235000.0,1630000.0,4742,34.82923246419391,float64
VEH,12215.0,7,,,1.9286942284076956,1.0879489580845874,0.0,1.0,2.0,2.0,6.0,1400,10.282776349614396,float64
WATFP,12215.0,3,,,2.8004911993450676,0.5231497805383732,1.0,3.0,3.0,3.0,3.0,1400,10.282776349614396,float64
WATP,10474.0,115,,,531.4261982050792,513.6437076815681,4.0,90.0,480.0,750.0,3500.0,3141,23.07014322438487,float64
YRBLT,12215.0,11,,,1979.1824805566926,21.111035086576223,1939.0,1960.0,1980.0,2000.0,2021.0,1400,10.282776349614396,float64
CPLT,6765.0,4,,,1.209608277900961,0.6176938977529052,1.0,1.0,1.0,1.0,4.0,6850,50.3121557106133,float64
FINCP,8062.0,2416,,,83773.29087075168,79536.28674300968,0.0,36000.0,63700.0,103850.0,1198200.0,5553,40.78589790672053,float64
FPARC,8062.0,4,,,3.2029273133217564,1.0398349779974776,1.0,2.0,4.0,4.0,4.0,5553,40.78589790672053,float64
GRNTP,2931.0,906,,,823.3783691572842,422.4534772086355,40.0,573.0,765.0,990.0,3425.0,10684,78.47227322805729,float64
GRPIP,2850.0,101,,,36.3340350877193,26.358039120040676,1.0,18.0,28.0,45.0,101.0,10765,79.06720528828498,float64
HHL,12215.0,5,,,1.111011051985264,0.4725534680984645,1.0,1.0,1.0,1.0,5.0,1400,10.282776349614396,float64
HHLANP,12215.0,71,,,8955.991158411789,2021.3466616985504,1025.0,9500.0,9500.0,9500.0,9999.0,1400,10.282776349614396,float64
HHLDRAGEP,12215.0,73,,,55.36807204257061,17.637608743506384,18.0,41.0,57.0,69.0,93.0,1400,10.282776349614396,float64
HHLDRHISP,12215.0,18,,,1.203192795742939,1.700462652948564,1.0,1.0,1.0,1.0,24.0,1400,10.282776349614396,float64
HHLDRRAC1P,12215.0,9,,,1.9246827670896438,2.296056881272867,1.0,1.0,1.0,1.0,9.0,1400,10.282776349614396,float64
HHT,12215.0,7,,,2.7310683585755218,2.021166032312037,1.0,1.0,2.0,4.0,7.0,1400,10.282776349614396,float64
HHT2,12215.0,12,,,4.218747441670078,3.0005117575059073,1.0,2.0,3.0,6.0,12.0,1400,10.282776349614396,float64
HINCP,12215.0,2741,,,69656.88604175195,73369.56502699299,0.0,25000.0,50000.0,89000.0,1198200.0,1400,10.282776349614396,float64
HUGCL,12215.0,2,,,0.042734343020875976,0.20226583554450486,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
HUPAC,12215.0,4,,,3.457715923045436,0.9488261289326007,1.0,3.0,4.0,4.0,4.0,1400,10.282776349614396,float64
HUPAOC,12215.0,4,,,3.542284076954564,0.8922601840155409,1.0,4.0,4.0,4.0,4.0,1400,10.282776349614396,float64
HUPARC,12215.0,4,,,3.4671305771592307,0.9439227125864788,1.0,3.0,4.0,4.0,4.0,1400,10.282776349614396,float64
KIT,12215.0,2,,,1.009905853458862,0.09903802561007191,1.0,1.0,1.0,1.0,2.0,1400,10.282776349614396,float64
LNGI,12215.0,2,,,1.0107245190339746,0.10300666172691733,1.0,1.0,1.0,1.0,2.0,1400,10.282776349614396,float64
MULTG,12215.0,2,,,1.0336471551371265,0.18032660979270915,1.0,1.0,1.0,1.0,2.0,1400,10.282776349614396,float64
MV,12215.0,7,,,4.173393368808841,1.864422906056115,1.0,3.0,4.0,6.0,7.0,1400,10.282776349614396,float64
NOC,12215.0,9,,,0.4310274252967663,0.9192749136904602,0.0,0.0,0.0,0.0,9.0,1400,10.282776349614396,float64
NPF,8062.0,10,,,2.8778218804266933,1.209412622917602,2.0,2.0,2.0,4.0,11.0,5553,40.78589790672053,float64
NPP,12215.0,2,,,0.012116250511665984,0.10940944640592935,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
NR,12215.0,2,,,0.0898894801473598,0.28603506691547115,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
NRC,12215.0,10,,,0.49643880474826035,0.9713260518495745,0.0,0.0,0.0,1.0,9.0,1400,10.282776349614396,float64
OCPIP,8781.0,101,,,19.867327183692062,20.112560350341468,1.0,8.0,14.0,23.0,101.0,4834,35.50495776716856,float64
PARTNER,12215.0,5,,,0.1683176422431437,0.7352021923218802,0.0,0.0,0.0,0.0,4.0,1400,10.282776349614396,float64
PLM,12215.0,2,,,1.0049119934506754,0.06991613516579688,1.0,1.0,1.0,1.0,2.0,1400,10.282776349614396,float64
PLMPRP,12215.0,1,,,9.0,0.0,9.0,9.0,9.0,9.0,9.0,1400,10.282776349614396,float64
PSF,12215.0,2,,,0.026770364306180926,0.1614182300839306,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
R18,12215.0,2,,,0.2713876381498158,0.44469380176929113,0.0,0.0,0.0,1.0,1.0,1400,10.282776349614396,float64
R60,12215.0,3,,,0.6994678673761768,0.7915007488910955,0.0,0.0,0.0,1.0,2.0,1400,10.282776349614396,float64
R65,12215.0,3,,,0.5248465002046664,0.7318688317135714,0.0,0.0,0.0,1.0,2.0,1400,10.282776349614396,float64
RESMODE,12215.0,3,,,2.2668031109291853,0.8383067460942085,1.0,1.0,3.0,3.0,3.0,1400,10.282776349614396,float64
SMOCP,8873.0,2083,,,834.2202186408205,668.647740864371,6.0,362.0,642.0,1098.0,7318.0,4742,34.82923246419391,float64
SMX,4349.0,4,,,2.922970797884571,0.31564365151293095,1.0,3.0,3.0,3.0,4.0,9266,68.05728975394784,float64
SRNT,12215.0,2,,,0.26811297584936555,0.4429948914943276,0.0,0.0,0.0,1.0,1.0,1400,10.282776349614396,float64
SVAL,12215.0,2,,,0.5747032337290217,0.4944081697198779,0.0,0.0,1.0,1.0,1.0,1400,10.282776349614396,float64
TAXAMT,8873.0,65,,,1106.8578834666966,1449.0275705924762,0.0,325.0,725.0,1350.0,11500.0,4742,34.82923246419391,float64
WIF,8062.0,4,,,1.3047630860828578,0.9060984507043043,0.0,1.0,1.0,2.0,3.0,5553,40.78589790672053,float64
WKEXREL,8062.0,15,,,6.741875465145125,4.628110562005086,1.0,2.0,7.0,9.0,15.0,5553,40.78589790672053,float64
WORKSTAT,8020.0,15,,,6.319077306733167,4.875843235715025,1.0,1.0,7.0,9.0,15.0,5595,41.09438119720896,float64
FACCESSP,12215.0,2,,,0.03896848137535817,0.193527788659001,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FACRP,12215.0,2,,,0.03806794924273434,0.1913681754684655,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FAGSP,12215.0,2,,,0.015472779369627506,0.1234286015236098,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FBATHP,12215.0,2,,,0.019484240687679084,0.13822506722300418,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FBDSP,12215.0,2,,,0.038477282030290626,0.19235334633146536,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FBLDP,12215.0,2,,,0.01612771182971756,0.12597185349797083,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FBROADBNDP,12215.0,2,,,0.07490790012279984,0.2632534523406755,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FCOMPOTHXP,12215.0,2,,,0.026115431846090872,0.15948510395104054,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FCONP,12215.0,2,,,0.002292263610315186,0.04782464200336703,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FDIALUPP,12215.0,2,,,0.03790421612771183,0.19097243842887013,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FELEP,12215.0,2,,,0.08440442079410561,0.2780047512828111,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FFINCP,12215.0,2,,,0.27597216537044617,0.4470211276131389,0.0,0.0,0.0,1.0,1.0,1400,10.282776349614396,float64
FFSP,13615.0,2,,,0.05420492104296731,0.2264299302543531,0.0,0.0,0.0,0.0,1.0,0,0.0,int64
FFULP,12215.0,2,,,0.11191158411788785,0.315270548302652,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FGASP,12215.0,2,,,0.1174785100286533,0.3220027920833217,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FGRNTP,12215.0,2,,,0.051903397462136715,0.22184107764542396,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FHFLP,12215.0,2,,,0.050184199754400326,0.2183338004053037,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FHINCP,12215.0,2,,,0.4059762586983217,0.49110007186833105,0.0,0.0,0.0,1.0,1.0,1400,10.282776349614396,float64
FHISPEEDP,12215.0,2,,,0.03790421612771183,0.19097243842887013,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FHOTWATP,12215.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400,10.282776349614396,float64
FINSP,12215.0,2,,,0.2105607859189521,0.40772362052010086,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FKITP,12215.0,2,,,0.02365943512075317,0.15199196523338118,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FLAPTOPP,12215.0,2,,,0.023086369218174377,0.1501840047873404,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FMHP,12215.0,2,,,0.02267703643061809,0.14887781227935823,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FMRGIP,12215.0,2,,,0.03143675808432255,0.174502095238073,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FMRGP,12215.0,2,,,0.04126074498567335,0.19890081617618952,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FMRGTP,12215.0,2,,,0.03037249283667622,0.17161706116655379,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FMRGXP,12215.0,2,,,0.027752762996316006,0.16427037557481014,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FMVP,12215.0,2,,,0.051903397462136715,0.22184107764542396,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FOTHSVCEXP,12215.0,2,,,0.03790421612771183,0.19097243842887013,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FPLMP,12215.0,2,,,0.020712239050347934,0.14242507805522067,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FPLMPRP,12215.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400,10.282776349614396,float64
FREFRP,12215.0,2,,,0.020875972165370446,0.14297496093563541,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FRMSP,12215.0,2,,,0.03389275480966025,0.18096053946109403,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FRNTMP,12215.0,2,,,0.009087187883749489,0.09489651277558143,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FRNTP,12215.0,2,,,0.018174375767498977,0.13358715800917884,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FRWATP,12215.0,2,,,0.01686451084731887,0.12876900476422468,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FRWATPRP,12215.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400,10.282776349614396,float64
FSATELLITEP,12215.0,2,,,0.03790421612771183,0.19097243842887013,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FSINKP,12215.0,2,,,0.020384772820302908,0.14131832437319303,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FSMARTPHONP,12215.0,2,,,0.02546049938600082,0.15752553385984194,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FSMOCP,12215.0,2,,,0.21440851412198117,0.4104281833908469,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FSMP,12215.0,2,,,0.02464183381088825,0.15503735559379603,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FSMXHP,12215.0,2,,,0.018256242325010233,0.13388210990154154,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FSMXSP,12215.0,2,,,0.018256242325010233,0.13388210990154154,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FSTOVP,12215.0,2,,,0.02030290626279165,0.14104016015443976,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FTABLETP,12215.0,2,,,0.02488743348342202,0.1557884335961169,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FTAXP,12215.0,2,,,0.15423659435120754,0.3611901818847741,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FTELP,12215.0,2,,,0.016782644289807615,0.12846142662318133,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FTENP,12215.0,2,,,0.025951698731068357,0.15899772851631017,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FVACDURP,12215.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400,10.282776349614396,float64
FVACOTHP,12215.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400,10.282776349614396,float64
FVACSP,12215.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400,10.282776349614396,float64
FVALP,12215.0,2,,,0.1108473188702415,0.31395582525836985,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FVEHP,12215.0,2,,,0.02374130167826443,0.15224831658458912,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FWATP,12215.0,2,,,0.08997134670487106,0.286152419128785,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
FYRBLTP,12215.0,2,,,0.12386410151453131,0.32943993519751125,0.0,0.0,0.0,0.0,1.0,1400,10.282776349614396,float64
WGTP1,13615.0,590,,,86.82761659933897,107.05919576700613,0.0,18.0,54.0,113.0,2157.0,0,0.0,int64
WGTP2,13615.0,595,,,86.9517443995593,105.59675096058842,0.0,19.0,54.0,114.0,1542.0,0,0.0,int64
WGTP3,13615.0,586,,,86.83400661035623,106.58203159542573,0.0,18.0,54.0,114.0,2276.0,0,0.0,int64
WGTP4,13615.0,592,,,87.02915901579141,106.16803838402147,0.0,18.0,55.0,114.0,1978.0,0,0.0,int64
WGTP5,13615.0,596,,,87.29203084832905,106.6447474834589,0.0,18.0,55.0,114.0,1432.0,0,0.0,int64
WGTP6,13615.0,588,,,86.973264781491,106.4259068544884,0.0,19.0,54.0,113.0,1901.0,0,0.0,int64
WGTP7,13615.0,591,,,87.21975762027176,106.177093475357,0.0,18.0,55.0,114.0,1515.0,0,0.0,int64
WGTP8,13615.0,591,,,87.06852735952992,106.91458344021328,0.0,18.0,55.0,114.0,1951.0,0,0.0,int64
WGTP9,13615.0,598,,,87.04935732647814,108.81273237354121,0.0,18.0,53.0,115.0,2887.0,0,0.0,int64
WGTP10,13615.0,593,,,86.64340800587587,107.07054653453531,0.0,18.0,54.0,114.0,1784.0,0,0.0,int64
WGTP11,13615.0,605,,,86.91847227322806,107.28802541956767,0.0,18.0,53.0,113.0,1735.0,0,0.0,int64
WGTP12,13615.0,581,,,86.84979801689313,106.02571535485315,0.0,18.0,55.0,114.5,2173.0,0,0.0,int64
WGTP13,13615.0,584,,,87.24840249724568,105.20242958294183,0.0,19.0,56.0,114.0,1817.0,0,0.0,int64
WGTP14,13615.0,582,,,87.09181050312155,106.20479481901776,0.0,19.0,54.0,114.0,1761.0,0,0.0,int64
WGTP15,13615.0,582,,,87.02240176276166,104.21991634420402,0.0,19.0,56.0,114.0,1764.0,0,0.0,int64
WGTP16,13615.0,591,,,86.96694821887624,104.25958704184015,0.0,18.0,55.0,115.0,1097.0,0,0.0,int64
WGTP17,13615.0,594,,,87.01483657730445,106.56563557312651,0.0,18.0,55.0,114.0,1349.0,0,0.0,int64
WGTP18,13615.0,597,,,87.10238707308116,105.6881697367404,0.0,19.0,55.0,114.0,1438.0,0,0.0,int64
WGTP19,13615.0,562,,,86.82724935732648,102.8662570992184,0.0,19.0,56.0,114.0,1444.0,0,0.0,int64
WGTP20,13615.0,589,,,86.63363936834374,106.65761146965015,0.0,18.0,55.0,114.0,1509.0,0,0.0,int64
WGTP21,13615.0,581,,,86.90892398090341,104.13811904361225,0.0,18.5,55.0,114.0,2042.0,0,0.0,int64
WGTP22,13615.0,586,,,86.88453911127434,105.63790726955217,0.0,18.0,55.0,114.0,2018.0,0,0.0,int64
WGTP23,13615.0,587,,,86.77436650752846,107.61249058956001,0.0,18.0,54.0,114.0,1920.0,0,0.0,int64
WGTP24,13615.0,589,,,86.92324641939038,105.64891187615777,0.0,18.0,54.0,114.0,1263.0,0,0.0,int64
WGTP25,13615.0,581,,,86.77686375321336,105.62996193290233,0.0,18.0,55.0,115.0,1860.0,0,0.0,int64
WGTP26,13615.0,589,,,87.09930224017627,106.8730396761519,0.0,18.0,54.0,115.0,2143.0,0,0.0,int64
WGTP27,13615.0,596,,,87.21894968784429,106.82240826218349,0.0,18.0,54.0,114.0,1825.0,0,0.0,int64
WGTP28,13615.0,583,,,86.77399926551597,105.05148674214809,0.0,19.0,55.0,114.0,1906.0,0,0.0,int64
WGTP29,13615.0,590,,,86.90011017260375,105.8786410364433,0.0,18.0,55.0,114.0,1914.0,0,0.0,int64
WGTP30,13615.0,583,,,86.93455747337495,107.54207060952902,0.0,18.0,55.0,114.0,2470.0,0,0.0,int64
WGTP31,13615.0,591,,,87.2317297098788,107.42794548391521,0.0,19.0,54.0,114.0,1919.0,0,0.0,int64
WGTP32,13615.0,589,,,87.13301505692252,107.04663989909626,0.0,18.0,55.0,114.0,1886.0,0,0.0,int64
WGTP33,13615.0,602,,,87.05479250826295,106.97899671693702,0.0,19.0,55.0,114.0,1903.0,0,0.0,int64
WGTP34,13615.0,592,,,87.43870730811605,105.29531271372235,0.0,19.0,54.0,115.0,1144.0,0,0.0,int64
WGTP35,13615.0,589,,,86.94035989717224,105.91168614996589,0.0,19.0,54.0,114.0,1935.0,0,0.0,int64
WGTP36,13615.0,585,,,87.08630187293426,104.37739522662714,0.0,19.0,55.0,117.0,1645.0,0,0.0,int64
WGTP37,13615.0,589,,,87.17010650018362,106.03754834758786,0.0,18.0,54.0,113.0,1719.0,0,0.0,int64
WGTP38,13615.0,588,,,86.86478149100257,105.7842621874383,0.0,18.0,55.0,113.0,1666.0,0,0.0,int64
WGTP39,13615.0,584,,,86.88373117884686,105.80168775293187,0.0,18.0,55.0,113.0,1947.0,0,0.0,int64
WGTP40,13615.0,592,,,87.15321336760925,107.39375684655145,0.0,18.0,55.0,114.0,1981.0,0,0.0,int64
WGTP41,13615.0,592,,,87.01696658097687,106.81930660377495,0.0,18.0,54.0,114.0,2176.0,0,0.0,int64
WGTP42,13615.0,599,,,86.79992655159751,105.78748574589656,0.0,19.0,54.0,114.0,1989.0,0,0.0,int64
WGTP43,13615.0,593,,,86.91244950422329,107.2472158302963,0.0,18.0,54.0,114.0,2203.0,0,0.0,int64
WGTP44,13615.0,594,,,87.10510466397356,106.13409330354315,0.0,19.0,55.0,113.0,1762.0,0,0.0,int64
WGTP45,13615.0,590,,,87.27234667645979,108.63080452738558,0.0,18.0,54.0,113.0,1974.0,0,0.0,int64
WGTP46,13615.0,591,,,87.05442526625046,106.991673540782,0.0,18.0,53.0,114.0,2169.0,0,0.0,int64
WGTP47,13615.0,592,,,87.23907455012854,106.19758078764819,0.0,19.0,56.0,113.0,1607.0,0,0.0,int64
WGTP48,13615.0,593,,,87.2560411311054,107.62369197591889,0.0,18.0,54.0,114.0,1638.0,0,0.0,int64
WGTP49,13615.0,589,,,87.15688578773411,106.66370904016598,0.0,19.0,54.0,114.0,1770.0,0,0.0,int64
WGTP50,13615.0,589,,,87.07844289386706,107.23116826809654,0.0,18.0,54.0,114.0,2341.0,0,0.0,int64
WGTP51,13615.0,590,,,86.92772677194272,105.43961044222836,0.0,18.0,55.0,114.0,1178.0,0,0.0,int64
