column,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing_count,missing_pct,dtype
WGTP52,13615.0,577,,,86.99316929856775,104.4071851821939,0.0,19.0,56.0,114.0,1590.0,0,0.0,int64
WGTP53,13615.0,574,,,86.8318031582813,105.39939180541234,0.0,19.0,56.0,114.0,1713.0,0,0.0,int64
WGTP54,13615.0,582,,,86.87058391479985,105.02073709643015,0.0,19.0,55.0,115.0,1671.0,0,0.0,int64
WGTP55,13615.0,586,,,87.13507161219243,104.6459618542486,0.0,19.0,56.0,114.0,1489.0,0,0.0,int64
WGTP56,13615.0,589,,,87.14542783694455,105.30867067648148,0.0,18.0,55.0,115.0,1335.0,0,0.0,int64
WGTP57,13615.0,588,,,86.96738890929122,107.0122219866636,0.0,18.0,54.0,114.0,1767.0,0,0.0,int64
WGTP58,13615.0,594,,,87.15600440690415,106.06973137012645,0.0,18.0,55.0,115.0,1433.0,0,0.0,int64
WGTP59,13615.0,571,,,87.29540947484392,104.97854505388979,0.0,18.0,56.0,115.0,1665.0,0,0.0,int64
WGTP60,13615.0,603,,,86.78391479985311,107.87929089608119,0.0,18.0,54.0,113.0,1677.0,0,0.0,int64
WGTP61,13615.0,568,,,86.90951156812339,103.96685099276235,0.0,19.0,57.0,114.5,2256.0,0,0.0,int64
WGTP62,13615.0,584,,,86.91817847961806,105.54989826272735,0.0,18.0,54.0,114.0,1371.0,0,0.0,int64
WGTP63,13615.0,570,,,86.79691516709512,105.07823044650095,0.0,19.0,55.0,115.0,2067.0,0,0.0,int64
WGTP64,13615.0,572,,,86.77767168564084,104.65435424814514,0.0,18.0,55.0,114.0,1975.0,0,0.0,int64
WGTP65,13615.0,588,,,87.20051413881748,105.23218349349665,0.0,18.0,56.0,115.0,1783.0,0,0.0,int64
WGTP66,13615.0,578,,,87.01028277634961,106.12177069755468,0.0,18.0,54.0,114.0,2103.0,0,0.0,int64
WGTP67,13615.0,573,,,86.78068307014323,105.73760285782977,0.0,18.0,54.0,114.0,1563.0,0,0.0,int64
WGTP68,13615.0,586,,,86.96562614763128,104.1130185621825,0.0,18.0,55.0,114.5,1227.0,0,0.0,int64
WGTP69,13615.0,585,,,86.93396988615497,107.77017618071069,0.0,18.0,54.0,114.0,2667.0,0,0.0,int64
WGTP70,13615.0,595,,,86.80815277267719,106.76599728617992,0.0,18.0,54.0,113.0,2088.0,0,0.0,int64
WGTP71,13615.0,585,,,86.88358428204187,106.21670365729895,0.0,18.0,54.0,114.0,1844.0,0,0.0,int64
WGTP72,13615.0,599,,,86.93382298934998,107.73865530718638,0.0,18.0,54.0,114.0,1665.0,0,0.0,int64
WGTP73,13615.0,580,,,86.64965112008814,104.95351053618113,0.0,19.0,55.0,114.0,1802.0,0,0.0,int64
WGTP74,13615.0,591,,,87.039735585751,106.64323514459,0.0,18.0,54.0,114.0,1671.0,0,0.0,int64
WGTP75,13615.0,580,,,87.0799853103195,105.56651438595573,0.0,19.0,55.0,113.0,1510.0,0,0.0,int64
WGTP76,13615.0,585,,,86.82210796915167,105.19015260561837,0.0,18.0,55.0,115.0,1546.0,0,0.0,int64
WGTP77,13615.0,581,,,86.87829599706207,105.1904976296454,0.0,18.0,55.0,114.0,1437.0,0,0.0,int64
WGTP78,13615.0,591,,,87.1228791773779,106.29786745632722,0.0,19.0,54.0,114.0,1705.0,0,0.0,int64
WGTP79,13615.0,579,,,86.81748071979435,104.46627959663587,0.0,19.0,56.0,113.0,1448.0,0,0.0,int64
WGTP80,13615.0,587,,,86.68769739258171,105.89157250583808,0.0,19.0,55.0,114.0,1677.0,0,0.0,int64
ADJ_ELEP,11858.0,54,,,167.06527238994772,96.86828990020477,4.0,100.0,150.0,200.0,660.0,1757,12.904884318766067,float64
ADJ_FULP,839.0,81,,,478.5101311084625,503.2646613939608,4.0,150.0,300.0,600.0,2300.0,12776,93.8376790304811,float64
ADJ_GASP,6868.0,41,,,83.46942341292953,81.22651116507589,4.0,30.0,60.0,100.0,520.0,6747,49.555637164891664,float64
ADJ_INSP,8873.0,134,,,1006.3978361320861,878.8006238497078,0.0,210.0,1000.0,1400.0,5800.0,4742,34.82923246419391,float64
ADJ_MHP,1023.0,84,,,352.4516129032258,815.6661063329714,0.0,0.0,150.0,315.0,5500.0,12592,92.48622842453177,float64
ADJ_MRGP,12215.0,114,,,326.58796561604584,566.2884615481521,4.0,4.0,4.0,560.0,3700.0,1400,10.282776349614396,float64
ADJ_RNTP,2931.0,109,,,627.4036165131355,396.187178468487,10.0,400.0,570.0,750.0,2800.0,10684,78.47227322805729,float64
ADJ_SMP,306.0,69,,,386.1045751633987,421.0616895482522,0.0,150.0,260.0,500.0,2400.0,13309,97.75247888358429,float64
ADJ_SMOCP,8873.0,2083,,,834.2202186408205,668.647740864371,6.0,362.0,642.0,1098.0,7318.0,4742,34.82923246419391,float64
ADJ_TAXAMT,8873.0,65,,,1106.8578834666966,1449.0275705924762,0.0,325.0,725.0,1350.0,11500.0,4742,34.82923246419391,float64
ADJ_VALP,8873.0,383,,,186108.8696044179,198502.495104381,1000.0,78000.0,150000.0,235000.0,1630000.0,4742,34.82923246419391,float64
ADJ_WATP,10474.0,115,,,531.4261982050792,513.6437076815681,4.0,90.0,480.0,750.0,3500.0,3141,23.07014322438487,float64
INCOME_PER_PERSON_HOUSEHOLD,12215.0,3611,,,33187.633595312655,36727.79633024228,0.0,13050.0,23625.0,41000.0,728000.0,1400,10.282776349614396,float64
INCOME_PER_ROOM,12215.0,4796,,,11982.843866387148,12476.233396369254,0.0,4678.888889,8888.888889,15250.0,247100.0,1400,10.282776349614396,float64
RENT_TO_INCOME_RATIO,2850.0,2059,,,0.052390041052631585,0.5487646485388994,0.000787,0.010805,0.0168245,0.02747225,27.5,10765,79.06720528828498,float64
AGE_X_INCOME,12215.0,7996,,,3769253.621694638,4306481.975273578,0.0,1277750.0,2581100.0,4731900.0,103045200.0,1400,10.282776349614396,float64
SERIALNO,13615,13615,2021HU1414728,1,,,,,,,,0,0.0,object
TOTAL_PERSON_WEIGHT,13615.0,1212,,,222.24686008079325,282.4830489295166,1.0,63.0,126.0,265.0,3492.0,0,0.0,int64
WEIGHTED_AVG_AGE,13615.0,7996,,,48.896220390598614,21.66043555106453,4.773585,28.620323499999998,50.874439,67.0,93.0,0,0.0,float64
PROP_FEMALE,13615.0,5390,,,0.5155955076753581,0.3412693535203406,0.0,0.29681199999999996,0.505618,0.759815,1.0,0,0.0,float64
ESTIMATED_NUM_WORKERS,13615.0,765,,,97.34234300403966,157.4108101935956,0.0,0.0,37.0,132.0,1764.0,0,0.0,int64
ADJ_AVG_INTP,13610.0,1524,,,1651.4001509057364,13082.227445630382,-1338.9064,0.0,0.0,0.0,245122.864,5,0.03672420124862284,float64
ADJ_AVG_OIP,13610.0,1237,,,840.7251953764475,4146.72835803618,0.0,0.0,0.0,0.0,64885.464,5,0.03672420124862284,float64
ADJ_AVG_PAP,13610.0,224,,,34.466241903555115,432.59749253961974,0.0,0.0,0.0,0.0,15860.8912,5,0.03672420124862284,float64
ADJ_AVG_PERNP,13609.0,6837,,,20009.59137519413,32844.83935935902,-5149.64,0.0,9083.030896420049,28331.929411764708,504664.72,6,0.04406904149834741,float64
ADJ_AVG_PINCP,13610.0,9209,,,31043.56697796,36946.44270102836,0.0,10603.00089352496,21628.488,39584.0292924049,749787.584,5,0.03672420124862284,float64
ADJ_AVG_RETP,13610.0,2525,,,3429.6356442413,11227.718625103442,0.0,0.0,0.0,0.0,140070.208,5,0.03672420124862284,float64
ADJ_AVG_SEMP,13610.0,1051,,,1234.2328275741909,9053.549062338674,-5149.64,0.0,0.0,0.0,265721.424,5,0.03672420124862284,float64
ADJ_AVG_SSIP,13610.0,710,,,374.7814248088115,1748.8853200152414,0.0,0.0,0.0,0.0,24924.2576,5,0.03672420124862284,float64
ADJ_AVG_SSP,13610.0,3380,,,4704.437169672222,7393.041533640765,0.0,0.0,0.0,8927.465219152855,38210.3288,5,0.03672420124862284,float64
ADJ_AVG_WAGP,13610.0,6571,,,18773.88829418443,31195.316011036695,0.0,0.0,7716.022413388119,26773.644749564228,401671.92,5,0.03672420124862284,float64
INCOME_PER_PERSON,13610.0,9284,,,19038.753157528245,29249.792860166257,0.0,4391.075375365141,11020.2296,22658.416,749787.584,5,0.03672420124862284,float64
NUM_DISABLED,13615.0,490,,,39.524201248622845,91.68377437313056,0.0,0.0,0.0,48.0,2546.0,0,0.0,int64
PROP_INSURED,13615.0,1058,,,0.9044700778553066,0.2621185270163344,0.0,1.0,1.0,1.0,1.0,0,0.0,float64
PROP_MEDICAID,13615.0,1930,,,0.24722291340433344,0.38894456448019055,0.0,0.0,0.0,0.4940585,1.0,0,0.0,float64
AVG_POVERTY_RATIO,12340.0,1530,,,276.96560904343596,162.59943153909438,0.0,135.0,259.0,447.80909125,501.0,1275,9.364671318398825,float64
PROP_OTHER_RACE,13615.0,370,,,0.05294050826294528,0.21054933226383918,0.0,0.0,0.0,0.0,1.0,0,0.0,float64
